From	To
Q3MHD2	LSM12
Q3ZCQ8	TIMM50
Q49A26	GLYR1
Q4VC31	MIX23
Q52LJ0	FAM98B
Q53GQ0	HSD17B12
Q53GS9	USP39
Q56VL3	OCIAD2
Q5BKZ1	ZNF326
Q5JVF3	PCID2
Q5T4S7	UBR4
Q5T7N2	L1TD1
Q5TFE4	NT5DC1
Q5U5X0	LYRM7
Q5VYK3	ECPAS
Q6DN03	H2BC20P
Q6FI81	CIAPIN1
Q6GMV3	PTRHD1
Q6IBS0	TWF2
Q6P1A2	LPCAT3
Q6P1L8	MRPL14
Q6P2Q9	PRPF8
Q6PI48	DARS2
Q6PIU2	NCEH1
Q6PKG0	LARP1
Q6UB35	MTHFD1L
Q71RC2	LARP4
Q71U36	TUBA1A
Q71UM5	RPS27L
Q7KZF4	SND1
Q7L014	DDX46
Q7L1Q6	BZW1
Q7L2H7	EIF3M
Q7L576	CYFIP1
Q7L5D6	GET4
Q7L5N1	COPS6
Q7Z4V5	HDGFL2
Q7Z6Z7	HUWE1
Q7Z739	YTHDF3
Q86U38	NOP9
Q86U42	PABPN1
Q86UP2	KTN1
Q86V81	ALYREF
Q86VP6	CAND1
Q86WR0	CCDC25
Q86XP3	DDX42
Q86YP4	GATAD2A
Q8IV08	PLD3
Q8IX12	CCAR1
Q8IXI1	RHOT2
Q8IXT5	RBM12B
Q8IY81	FTSJ3
Q8IYB8	SUPV3L1
Q8IYD1	GSPT2
Q8IZL8	PELP1
Q8IZQ5	SELENOH
Q8N0U8	VKORC1L1
Q8N163	CCAR2
Q8N1F7	NUP93
Q8N1G4	LRRC47
Q8N2C7	UNC80
Q8N4H5	TOMM5
Q8NBJ5	COLGALT1
Q8NBS9	TXNDC5
Q8NC51	SERBP1
Q8NCA5	FAM98A
Q8NDC0	MAPK1IP1L
Q8NE71	ABCF1
Q8NE86	MCU
Q8NF37	LPCAT1
Q8NFH3	NUP43
Q8NFH5	NUP35
Q8NI27	THOC2
Q8NI36	WDR36
Q8TBQ9	TMEM167A
Q8TCT9	HM13
Q8TDN6	BRIX1
Q8TED0	UTP15
Q8TEM1	NUP210
Q8TEQ6	GEMIN5
Q8TF09	DYNLRB2
Q8TF72	SHROOM3
Q8WU90	ZC3H15
Q8WUM0	NUP133
Q8WUM4	PDCD6IP
Q8WVM8	SCFD1
Q8WW12	PCNP
Q8WW59	SPRYD4
Q8WWM7	ATXN2L
Q8WXF1	PSPC1
Q8WY22	BRI3BP
Q8WYA6	CTNNBL1
Q92499	DDX1
Q92520	FAM3C
Q92522	H1-10
Q92552	MRPS27
Q92575	UBXN4
Q92598	HSPH1
Q92599	SEPTIN8
Q92616	GCN1
Q92620	DHX38
Q92621	NUP205
Q92688	ANP32B
Q92734	TFG
Q92747	ARPC1A
Q92769	HDAC2
Q92841	DDX17
Q92879	CELF1
Q92905	COPS5
Q92945	KHSRP
Q92973	TNPO1
Q93009	USP7
Q93062	RBPMS
Q969G3	SMARCE1
Q969H8	MYDGF
Q969Q0	RPL36AL
Q969V3	NCLN
Q96A33	CCDC47
Q96AE4	FUBP1
Q96AG4	LRRC59
Q96AY3	FKBP10
Q96B49	TOMM6
Q96C36	PYCR2
Q96CN7	ISOC1
Q96CT7	CCDC124
Q96CW1	AP2M1
Q96DI7	SNRNP40
Q96EE3	SEH1L
Q96EP5	DAZAP1
Q96ER3	SAAL1
Q96ER9	CCDC51
Q96FJ2	DYNLL2
Q96FW1	OTUB1
Q96G23	CERS2
Q96GQ7	DDX27
Q96HE7	ERO1A
Q96HS1	PGAM5
Q96HY6	DDRGK1
Q96I24	FUBP3
Q96I25	RBM17
Q96IX5	ATP5MK
Q96IZ0	PAWR
Q96K17	BTF3L4
Q96KP4	CNDP2
Q96M27	PRRC1
Q96N66	MBOAT7
Q96P70	IPO9
Q96Q11	TRNT1
Q96QD8	SLC38A2
Q96QK1	VPS35
Q96RK1	CITED4
Q96SB4	SRPK1
Q96TA1	NIBAN2
Q96TC7	RMDN3
Q99417	MYCBP
Q99426	TBCB
Q99436	PSMB7
Q99439	CNN2
Q99459	CDC5L
Q99460	PSMD1
Q99471	PFDN5
Q99497	PARK7
Q99536	VAT1
Q99613	EIF3C
Q99623	PHB2
Q99627	COPS8
Q99714	HSD17B10
Q99729	HNRNPAB
Q99733	NAP1L4
Q99798	ACO2
Q99805	TM9SF2
Q99816	TSG101
Q99829	CPNE1
Q99832	CCT7
Q99873	PRMT1
Q99961	SH3GL1
Q99986	VRK1
Q9BPW8	NIPSNAP1
Q9BPX3	NCAPG
Q9BPX5	ARPC5L
Q9BQ52	ELAC2
Q9BQA1	WDR77
Q9BQC6	MRPL57
Q9BQG0	MYBBP1A
Q9BR76	CORO1B
Q9BRA2	TXNDC17
Q9BRJ6	C7orf50
Q9BRP8	PYM1
Q9BS26	ERP44
Q9BSH4	TACO1
Q9BSJ8	ESYT1
Q9BT78	COPS4
Q9BTD8	RBM42
Q9BTE6	AARSD1
Q9BTT0	ANP32E
Q9BTV4	TMEM43
Q9BUF5	TUBB6
Q9BUL8	PDCD10
Q9BUQ8	DDX23
Q9BV20	MRI1
Q9BV38	WDR18
Q9BVA1	TUBB2B
Q9BVI4	NOC4L
Q9BVK6	TMED9
Q9BVP2	GNL3
Q9BWD1	ACAT2
Q9BWF3	RBM4
Q9BX40	LSM14B
Q9BXJ9	NAA15
Q9BXP5	SRRT
Q9BXW9	FANCD2
Q9BY32	ITPA
Q9BY44	EIF2A
Q9BYD3	MRPL4
Q9BYG3	NIFK
Q9BYT8	NLN
Q9BZE4	GTPBP4
Q9BZK3	NACA4P
Q9BZZ5	API5
Q9C005	DPY30
Q9C0C2	TNKS1BP1
